totalCount,rows._id,rows.devID,D0_ST,Start Time,ST.Hour,D1_ET,End Time,ET.Hour,Status,Downtime_Reason,Production,Duration,Production_Time,Downtime_Duration,Expected_Quantity,Quality,Date_Shift,Disconnected _Duration,Shift,Units_Rejected,Rejection_Reason,rows.data.fromVMS,Year,Month Name,Month Number,Day
119715,67c7f29fabe58805d35b7300,HHPLOEE_F3_T_Timeline_E,05-03-2025 12:03:00,12:03:00,12,,,,Production,Production,58,630,630,0,56,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29fabe58805d35b72ff,HHPLOEE_F3_T_Timeline_E,05-03-2025 11:59:40,11:59:40,11,05-03-2025 12:03:00,12:03:00,12,Downtime,Not Mentioned,0,200,0,200,0,nan,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29fabe58805d35b72fe,HHPLOEE_F3_T_Timeline_E,05-03-2025 11:57:30,11:57:30,11,05-03-2025 11:59:40,11:59:40,11,Production,Production,13,130,130,0,12,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29f337d5306be7a2e04,HHPLOEE_C3_T_Timeline_E,05-03-2025 11:58:50,11:58:50,11,,,,Production,Production,60,880,880,0,54,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29f337d5306be7a2e03,HHPLOEE_C3_T_Timeline_E,05-03-2025 11:58:30,11:58:30,11,05-03-2025 11:58:50,11:58:50,11,Disconnected,Disconnected,,20,0,0,0,nan,05-03-2025,20,A,0,,FALSE,2025,March,3,5
119715,67c7f29f337d5306be7a2e02,HHPLOEE_C3_T_Timeline_E,05-03-2025 11:57:40,11:57:40,11,05-03-2025 11:58:30,11:58:30,11,Production,Production,2,50,50,0,3,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29ec08be1048603c989,HHPLOEE_D2_T_Timeline_E,05-03-2025 11:59:00,11:59:00,11,,,,Production,Production,133,870,870,0,130,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29ec08be1048603c988,HHPLOEE_D2_T_Timeline_E,05-03-2025 11:58:20,11:58:20,11,05-03-2025 11:59:00,11:59:00,11,Disconnected,Disconnected,,40,0,0,0,nan,05-03-2025,40,A,0,,FALSE,2025,March,3,5
119715,67c7f29ec08be1048603c987,HHPLOEE_D2_T_Timeline_E,05-03-2025 11:57:30,11:57:30,11,05-03-2025 11:58:20,11:58:20,11,Production,Production,5,50,50,0,7,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
119715,67c7f29eabe58805d35b72f8,HHPLOEE_F2_T_Timeline_E,05-03-2025 12:03:00,12:03:00,12,,,,Production,Production,57,630,630,0,57,100,05-03-2025,0,A,0,,FALSE,2025,March,3,5
